certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"TARIQ QURESHI","MEMBER",1,1,"MA","BILLERICA HEALTHCARE SOLUTIONS","Small Operator"
"CONNOR SWEENEY","ADMINISTRATOR",1,1,"MA","LONG TERM CENTERS OF WRENTHAM INC.","Small Operator"
"DAVID CAVALIER","ADMINISTRATOR",1,1,"MA","WELLMAN HEALTHCARE GROUP INC.","Small Operator"
"TIFFANY STACHOWIAK","FACILITY ADMINISTRATOR",1,1,"MI","THE SPRINGS AT ROCHESTER HILLS REHAB","Small Operator"
"AYALA LEVINE","FACILITY ADMINISTRATOR",1,1,"MI","SEACREST REHABILITATION AND NURSING","Small Operator"
"WILL SMITH","ADMINISTRATOR",1,1,"MI","VISTA GRANDE VILLA","Small Operator"
"TOM LYON","FACILITY ADMINISTRATOR",1,1,"MI","CLEARSTREAM REHABILITATION AND HEALT","Small Operator"
"AIR LEV","CHIEF EXECUTIVE OFFICER",1,1,"MI","DOUGLAS COVE HEALTH AND REHABILITATI","Small Operator"
"KELLIE JOHNCOX","FACILITY ADMINISTRATOR",1,1,"MI","SPRINGCREEK REHABILITATION AND NURSI","Small Operator"
"TYLER LUCE","INTERIM SENIOR VP OF FINANCE",1,1,"MI","PRESBYTERIAN VILLAGE EAST","Small Operator"
"YISROEL LEVINE","PRINCIPLE",1,1,"MI","PINNACLE CARE OF BATTLE CREEK LLC","Small Operator"
"JOHN GANTON","PRESIDENT",1,1,"MI","COUNTRYSIDE CARE CENTER","Small Operator"
"ANN AUGER","PRESIDENT",1,1,"MI","ST ANNS HOME","Small Operator"
"MICHAEL ROSS","EXECUTIVE DIRECTOR",1,1,"MI","CHRISTIAN CARE NURSING CENTER","Small Operator"
"CRAIG RITTER","DIRECTOR OF FINANCE  MGMT AGENT",1,1,"MN","INTER-FAITH CARE CENTER","Small Operator"
"ADAM MASLOSKI","EXECUTIVE DIRECTOR",1,1,"MN","BOUNDARY WATERS CARE CENTER","Small Operator"
"RYAN KING","CFO",1,1,"MN","BIRCHWOOD HEALTH CARE CENTER","Small Operator"
"KRISTA MARTINI","CFO",1,1,"MN","GOOD SHEPHERD LUTHERAN HOME OF SAUK","Small Operator"
"MIKE SENDEN","CFO",1,1,"MN","MINNESOTA MASONIC HOME CARE CENTER","Small Operator"
"TIM CHEIS","OWNER",1,1,"MN","NEW BRIGHTON CARE CENTER","Small Operator"
"BRUCE SALMELA","BUSINESS OFFICE MANAGER",1,1,"MN","SHAKOPEE FRIENDSHIP MANOR","Small Operator"
"TIM CHIES","OWNER",1,1,"MN","PARK RIVER ESTATES CARE CENTER","Small Operator"
"TOM HENRY","PRESIDENT AND CEO",1,1,"MN","EPISCOPAL CHURCH HOME","Small Operator"
"WILL MONCRIEF","ADMINISTRATOR",1,1,"MN","MISSION FARM NURSING HOME","Small Operator"
"RODNEY PLUNKETT","VICE PRESIDENT",1,1,"MN","ALLINA HEALTH RESTORATIVE SUITES","Small Operator"
"GREGG GIBBES","CHIEF EXECUTIVE OFFICER",1,1,"MS","ARRINGTON LIVING CENTER","Small Operator"
"DON CHANCE","ADMINISTRATOR",1,1,"MO","BERTRAND NURSING AND REHAB CENTER","Small Operator"
"AMANDA FIZER","EXECUTIVE DIRECTOR",1,1,"MO","LINDEN WOODS VILLAGE","Small Operator"
"DAN DEMMERLY","CHIEF EXECUTIVE OFFICER",1,1,"MT","MOUNTAIN VIEW OF CASCADIA","Small Operator"
"REBECCA SCHACKELFORD","ADMINISTRATOR",1,1,"MT","SWEET MEMORIAL NURSING HOME","Small Operator"
"ROSEMARY SIMINO","ADMININSTRATOR",1,1,"NH","METRO HEALTH FOUNDATION OF NEW HAMPS","Small Operator"
"CHRIS MARTIN","MEMBER",1,1,"NH","GREENLEAF PROPERTIES DBA WOODLAWN","Small Operator"
"VICTOR FLAMINI","CHIEF FINANCIAL OFFICER",1,1,"NJ","WILEY MISSION","Small Operator"
"JOHN HAMPILOS","MANAGING DIRECTOR",1,1,"NJ","LITTLE BROOK NURSING & CONV. HOME","Small Operator"
"ABE TYBERG","CONTROLLER",1,1,"NY","BEECHTREE CARE CENTER","Small Operator"
"RYAN LACLAIR","ADMINISTRATOR",1,1,"NY","ELCOR HEALTH SERVICES","Small Operator"
"BEN ROSENBERG","ADMINISTRATOR",1,1,"NY","OCEANVIEW NURSING HOME","Small Operator"
"KARIE MANN","HOSPITAL FINANCE ADMINISTRATOR",1,1,"NY","MONROE COMMUNITY HOSPITAL","Small Operator"
"YAAKOV GELDZAHLER","CFO",1,1,"NY","HIGHLAND PARK","Small Operator"
"JEROME WEINSTOCK","CONTROLLER",1,1,"NY","EASTCHESTER REHABILITATION & HCC LLC","Small Operator"
"EPHRAIM STEIF","OWNER",1,1,"NY","CORTLAND CARE CENTER","Small Operator"
"EPHRAIM STEIF","MEMBER",1,1,"NY","BRIDGEWATER CTR RHB & NRSNG","Small Operator"
"JONAH COHEN","ADMINISTRATOR",1,1,"NY","FIELDSTON LODGE CARE CENTER","Small Operator"
"MACKENZIE FLYNN","COMPTROLLER",1,1,"NY","GLENDALE HOME","Small Operator"
"ABE GREENBAUM","PRESIDENT",1,1,"NY","NEW GLEN OAKS NURSING HOME","Small Operator"
"MICHELE DYGERT","CFO",1,1,"NY","WELLS NURSING HOME  INC.","Small Operator"
"DAVID ARDITTI","VP / CFO",1,1,"NY","CABRINI OF WESTCHESTER","Small Operator"
"PATRICK MCPARTLON","DIRECTOR OF FINANCE",1,1,"NY","KINGSWAY ARMS NURSING CENTER","Small Operator"
"MICHAEL TRETOLA","CEO",1,1,"NY","ST. JOHNLAND NURSING CENTER","Small Operator"
"MARILYN BARBIERI","CFO",1,1,"NY","IDEAL SENIOR LIVING CENTER","Small Operator"
"SAMUEL PHILLIPS","ADMINISTRATOR",1,1,"NY","CONCORD NURSING & REHAB CENTER  INC.","Small Operator"
"DAVID LEFEBER","CHAIRMAN OF THE BOARD",1,1,"NY","LIVINGSTON COUNTY CENTER FOR NURSING","Small Operator"
"STEVEN CHIZUK","CFO",1,1,"NY","SCHOFIELD CARE","Small Operator"
"SR. CAROL MARIE FERRUCCI","ADMINISTRATOR",1,1,"NY","QUEEN OF PEACE RESIDENCE","Small Operator"
"JOSEPH COSTA","ADMINISTRATOR",1,1,"NY","GOOD SAMARITAN NURSING HOME","Small Operator"
"PATRICIA TERRANOVA","ADDMINISTRATOR",1,1,"NY","ST. LUKE RESIDENTIAL HEALTH CARE FAC","Small Operator"
"USHER EGERT","CEO",1,1,"NY","YGC AT WOODYCREST LLC","Small Operator"
"LISA HANN","CFO",1,1,"NY","IROQUOIS NURSING HOME  INC.","Small Operator"
"WOLF GREEN","CEO",1,1,"NY","THE BROOK AT HIGH FALLS","Small Operator"
"JONATHAN HART","VP LONG TERM CARE",1,1,"NY","KALEIDA HEALTH-HIGHPOINTE ON MICHIGA","Small Operator"
"ULYSSES ARNOLD","CHIEF FINANCIAL OFFICER",1,1,"NY","GOOD SHEPHERD VILLAGE AT ENDWELL","Small Operator"
"KEVIN MANUEL","CHIEF ACCOUNTING OFFICERS",1,1,"NC","DAVIDSON HEALTH & REHAB","Small Operator"
"AMBER ANDERSON","CFO",1,1,"NC","CAROLINA VILLAGE  INC.","Small Operator"
"JEFF NUNN","CEO",1,1,"NC","ALPINE HEALTH & REHABILITATION","Small Operator"
"JOE YOON","EXECUTIVE DIRECTOR",1,1,"NC","ML BERMUDA VILLAGE LLC","Small Operator"
"CHERIE GRISSO","CFO",1,1,"NC","ALDERSGATE UNITED METHODIST RETIREME","Small Operator"
"MICHAEL BRICK","CFO",1,1,"OH","SPRING CREEK NURSING AND REHAB","Small Operator"
"PAUL PSOTA","CEO",1,1,"OH","WEST SIDE DEUTSCHER FRAUEN VEREIN","Small Operator"
"TOM WIDNEY","ADMINISTRATOR",1,1,"OH","MOTHER ANGELINE MCCRORY MANOR","Small Operator"
"TIM ANGEL","PRESIDENT/CFO/ADMIN",1,1,"OH","HILL VIEW HEALTH CARE FACILITY","Small Operator"
"JEFF ORLOWSKI","ADMINISTRATOR",1,1,"OH","WOOD HAVEN HEALTH CARE","Small Operator"
"BRIAN COIL","CFO",1,1,"OH","OTTAWA COUNTY RIVERVIEW NRSG HOME","Small Operator"
"JEFFREY SAS","ADMINISTRATOR",1,1,"OH","SLOVENE HOME FOR THE AGED","Small Operator"
"JOHN RENNER","SR EXEC VP  CFO  CAO",1,1,"OH","SEM HAVEN HEALTH CARE CENTER","Small Operator"
"PATRICK MAUGER","EXECUTIVE DIRECTOR",1,1,"OH","WORTHINGTON CHRISTIAN VILLAGE","Small Operator"
"BRIAN RENKAS","CFO",1,1,"OH","SAINT EDWARD NURSING HOME","Small Operator"
"JAMES KUBINSKI","CFO",1,1,"OH","NORMANDY MANOR OF ROCKY RIVER","Small Operator"
"MARK YANTEK","EXECUTIVE DIRECTOR",1,1,"OH","REGINA HEALTH CENTER","Small Operator"
"CHRIS WIDMAN","ADMINISTRATOR",1,1,"OH","GOOD SHEPHERD HOME","Small Operator"
"DONNA PATRICK","ASST. ADMINISTRATOR  DON",1,1,"OH","THE MEADOWS AT OSBORN PARK","Small Operator"
"MATTHEW JONES","OFFICE MANAGER",1,1,"OH","WOODLAND COUNTY MANOR","Small Operator"
"NATHAN CARDER","ADMINISTRATOR",1,1,"OH","BROWN MEMORIAL HOME INC.","Small Operator"
"APRIL QUEENER","ADMINISTRATOR",1,1,"OH","MOHUN HEALTH CARE CENTER","Small Operator"
"MATTHEW MCFARLAND","CHIEF FINANCIAL OFFICER",1,1,"OH","BRETHREN CARE VILLAGE HEALTH CARE","Small Operator"
"CHRISTOPHER DAPRILE","PRESIDENT",1,1,"OH","MAPLECREST NURSING HOME","Small Operator"
"CURTIS ONEAL","ADMINISTRATOR",1,1,"OH","FAIR HAVEN - SHELBY COUNTY HOME","Small Operator"
"PATRICE CAMPBELL","PRESIDENT",1,1,"OH","ENNIS COURT","Small Operator"
"JESSICA TRINKO","EXECUTIVE DIRECTOR",1,1,"OH","LIMA CONVALESCENT HOME","Small Operator"
"JANINE STACKHOUSE","EXECUTIVE DIRECTOR/ADMINISTRATOR",1,1,"OH","CANTON CHRISTIAN HOME","Small Operator"
"CHRIS GREEN","CFO AND TREASURER",1,1,"OH","OTTERBEIN GRANVILLE","Small Operator"
"DAVID KLINGERMAN","MANAGING PARTNER",1,1,"OH","SEVEN ACRES SENIOR LIVING AT CLIFTON","Small Operator"
"ROBBIE SMITH","FACILITY MANAGER",1,1,"OH","THE VINEYARDS AT CONCORD","Small Operator"
"CHUCK CALABRASE","CFO",1,1,"OH","NORTH PARK CARE CENTER","Small Operator"
"LESLIE WORKMAN","CHIEF EXECUTIVE OFFICER",1,1,"OR","FAIRLAWN HEALTH AND REHAB","Small Operator"
"JAMMIE POSEY","CHIEF EXECUTIVE OFFICER",1,1,"OR","CREEKSIDE HEALTH AND REHABILITATION","Small Operator"
"BRANDON DRESSER","ADMINISTRATOR",1,1,"PA","BROAD ACRES NURSING HOME","Small Operator"
"KEVIN MANUEL","CHIEF ACCOUNTING OFFIVER",1,1,"PA","SYCAMORE CREEK HEALTHCARE GROUP INC","Small Operator"
"SUSAN MCCRARY","ADMINISTRATOR",1,1,"PA","ST. IGNATIUS NURSING & REHAB CENTER","Small Operator"
"LORNA MALAWI","ASSOC ADMINISTRATOR",1,1,"PA","THE INN AT FREEDOM VILLAGE","Small Operator"
"MELISSA FORTUNATO","CONSULTANT",1,1,"PA","TULIP SPECIAL CARE  LLC","Small Operator"
"BARRY ZELTZER","CHIEF EXECUTIVE OFFICER",1,1,"RI","HATTIE IDE CHAFFEE NURSING HOME","Small Operator"
"ROB SECHIO","ADMINISTRATOR",1,1,"RI","MORGAN OPERATOR  LLC","Small Operator"
"ARMANI SEPE","ADMINISTRATOR",1,1,"RI","BAYVIEW OPERATOR LLC","Small Operator"
"KELLY ARNOLD","ADMINISTRATOR",1,1,"RI","ELMWOOD HEALTH CENTER INC.","Small Operator"
"STEPHANIE IGOE","ADMINISTRATOR",1,1,"RI","BETHANY HOME OF RHODE ISLAND","Small Operator"
"STACY RODGERS","CFO",1,1,"SC","JF HAWKINS NURSING HOME","Small Operator"
"TRISTA BATES","ADMINISTRATOR",1,1,"SD","WALWORTH COUNTY CARE CENTER  INC.","Small Operator"
"AL GRIFFIN","CFO",1,1,"TN","WOODCREST AT BLAKEFORD","Small Operator"
"ELIZABETH MCLAREN","SVP",1,1,"TN","SHANNONDALE OF MARYVILLE HEALTH CARE","Small Operator"
"JOHN COOPER","MANAGING MEMBER",1,1,"TN","THE HERITAGE AT BRENTWOOD","Small Operator"
"ZACH HILBERS","ADMINISTRATOR",1,1,"TN","LAKESHORE  THE MEADOWS","Small Operator"
"JAMES DAVIS","ADMINISTRATOR",1,1,"TX","SALADO CREEK SENIOR CARE INC","Small Operator"
"RANDY ELKINS","ADMINISTRATOR",1,1,"TX","HARLINGEN HEALTHCARE  INC.","Small Operator"
"M. BRADFORD ELLIS","EXECUTIVE DIRECTOR",1,1,"VT","VERNON GREEN NURSING HOME","Small Operator"
"MARY C. RODGER","DIRECTOR OF ACCTG",1,1,"VA","RICHFIELD HEALTH CENTER","Small Operator"
"SARAH WELLENHOFFER","ADMINISTRATOR",1,1,"VA","VALLEY REHAB AND NURSING CENTER","Small Operator"
"SUSAN VAUGHN","CFO/CONTROLLER",1,1,"VA","RAPPAHANNOCK WESTMINSTER CANTERBURY","Small Operator"
"W. WILLIAM AUSTIN JR","EXECUTIVE VP/CFO",1,1,"VA","RIVERSIDE CC - SMITHFIELD","Small Operator"
"W WILLIAM AUSTIN JR.","EXECUTIVE VP/CFO",1,1,"VA","RIVERSIDE CONVAL CENTER SALUDA","Small Operator"
"WILLIAM MILLER","DEO",1,1,"WA","RENTON HEALTH AND REHAB","Small Operator"
"AUDRA GUTIERREZ","ADMINISTRATOR",1,1,"WA","MCKAY HEALTHCARE & REHAB CENTER","Small Operator"
"DANIELLE ST GERMAINE","CHIEF EXECUTIVE OFFICER",1,1,"WA","STAFHOLT HEALTH AND REHAB","Small Operator"
"HEATHER TURNER","EXECUTIVE DIRECTOR",1,1,"WA","BRIARWOOD AT TIMBER RIDGE","Small Operator"
"MICHAEL HICKS","PRESIDENT",1,1,"WV","SUNDALE NURSING HOME","Small Operator"
"SHERRI MURRAY","CFO",1,1,"WV","MONTGOMERY GENERAL ELDERLY CARE","Small Operator"
"JENNIFER KLAR","CEO",1,1,"WI","MAPLEWOOD CENTER","Small Operator"
"PATRICE LANNING","DIRECTOR OF FINANCE",1,1,"WI","PINE CREST NURSING HOME","Small Operator"
"KATHERINE CLINTON","ADMINISTRATOR",1,1,"WI","ROCKY KNOLL HEALTH CARE CENTER","Small Operator"
"KELLY KRAMER","ADMINISTRATOR",1,1,"WI","HILLVIEW HEALTH CARE CENTER","Small Operator"
"NICOLE GROSSMAN","DIRECTOR OF FINANCIAL SERVICES",1,1,"WI","CLEARVIEW","Small Operator"
"DARRELL LANCOUR","CEO",1,1,"WI","NORTHLAND LUTHERAN SERVICES","Small Operator"
"AMBER L SCHROEDER","CFO",1,1,"WI","ST PAUL HOME INC","Small Operator"
"ADDISON PLATT","ADMINISTRATOR",1,1,"WI","SCHMITT WOODLAND HILLS","Small Operator"
"MATTHEW P FLAKE","ADMINISTRATOR",1,1,"CA","SOUTHLAND MANAGEMENT  LLC","Small Operator"
"MARY COMRIE","ADMINISTRATOR",1,1,"CA","STILLWATER POST-ACUTE","Small Operator"
"DAVID STIENSTRA","EXECUTIVE DIRECTOR",1,1,"CA","INLAND CHRISTIAN HOME","Small Operator"
"CONNIE RUSYNYK","CHIEF EXECUTIVE OFFICER",1,1,"CA","ASIAN COMMUNITY NURSING HOME","Small Operator"
"JAKE ROTHEY","ADMINISTRATOR",1,1,"CA","BEACH CREEK POST-ACUTE","Small Operator"
"ROBERT DECKER","FINANCAL CONTROLLER",1,1,"CA","RIVERSIDE VILLAGE HEALTHCARE CENTER","Small Operator"
"ANTHONY ARNAUDY","CFO",1,1,"CA","SOLHEIM LUTHERAN HOME","Small Operator"
"JEAN PARRIOTT","ADMINISTRATOR",1,1,"CA","MEADOWOOD NURSING CENTER","Small Operator"
"DERIK GHOOKASIAN","CEO",1,1,"CA","ARARAT POST ACUTE","Small Operator"
"KATIE POPOV","CEO",1,1,"CA","ROWNTREE GARDENS","Small Operator"
"MICHAEL SULHAN","CHIEF FINANCIAL OFFICER",1,1,"CA","LAUREL CREEK HEALTH CENTER","Small Operator"
"MICHAEL D EMPEY","ADMINISTRATOR",1,1,"CA","LA JOLLA SKILLED  LLC","Small Operator"
"CHRISTIAN SALVIEJO","ADMINISTRATOR",1,1,"CA","COSTA MESAHEALTHCARE INC","Small Operator"
"KOLBY HEATON","ADMINISTRATOR",1,1,"CA","THE RIDGE POST-ACUTE","Small Operator"
"LORETA CABANAYAN","CFO",1,1,"CA","DEVONSHIRE OAKS NURSING CENTER","Small Operator"
"B. FIONA TALBOT","CONTROLLER",1,1,"CA","INTERCOMMUNITY CARE CENTER","Small Operator"
"JOHN HAEDRICH","ADMINISTRATOR",1,1,"CA","DREIERS NURSING CARE CENTER","Small Operator"
"SHIRLEY MA","ADMINISTRATOR",1,1,"CA","BAY AREA HEALTHCARE CENTER","Small Operator"
"MICHELLE LAWRENCE","ADMINISTRATOR",1,1,"CA","GRAND OAKS CARE CENTER","Small Operator"
"PHIL WEINBERGER","PRESIDENT",1,1,"CA","RIVERSIDE HEIGHTS HEALTHCARE CENTER","Small Operator"
"MARK MEMMELAAR","ADMINISTRATOR",1,1,"CA","MEADOWBROOK VILLAGE CHRISTIAN RETIRE","Small Operator"
"SUKHDEEP GILL","ADMINISTRATOR",1,1,"CA","FOWLER CARE CENTER","Small Operator"
"SUZANNE NASRATY","ADMINISTRATOR",1,1,"CA","ORCHARDS SKILLED NURSING","Small Operator"
"PRABHJOT KAUR","ADMINISTRATOR",1,1,"CA","RIDGEVIEW HEALTH CENTER","Small Operator"
"JACK KIRKLAND","CFO",1,1,"TX","FARWELL CARE & REHABILITATION","Small Operator"
"AARON DE LA TORRE","ADMINISTRATOR",1,1,"TX","MCALLEN COMMUNITY HEALTHCARE  LLC","Small Operator"
"DEVORA KIRSCHER","COO",1,1,"TX","SOUTHEAST NURSING & REHABILITATION C","Small Operator"
"RAY WATT","MANAGING MEMBER",1,1,"TX","HILL COUNTRY CARE","Small Operator"
"PETER TIERNEY","ADMINISTRATOR",1,1,"TX","HUTCHINS HEALTHCARE  INC.","Small Operator"
"DANIEL DUPLECHIN","ADMINISTRATOR",1,1,"TX","OAK GROVE NURSING HOME","Small Operator"
"GARRETT NEWSOME","ADMINISTRATOR",1,1,"TX","RIVERWALK HEALTHCARE.INC","Small Operator"
"TODD BARRETTA","CHIEF FINANCIAL OFFICER",1,1,"CA","PILGRIM PLACE HEALTH SERVICES CENTER","Small Operator"
"LISA BETRUS","PRESIDENT",1,1,"NY","VALLEY HEALTH SERVICES  INC.","Small Operator"
"JENNIFER ALTONGY-BOUDJOUK","ADMINISTRATOR",1,1,"RI","BAYBERRY COMMONS","Small Operator"
"ROTISLAV PUKSHANKSKY","CEO",1,1,"WI","MEADOWBROOK AT BLACK RIVER FALLS","Small Operator"
"CHELSEA MOTT","ADMINISTRATOR",1,1,"CA","RANCHO SECO CARE CENTER LLC","Small Operator"
"SHANE BRADY","CHIEF EXECUTIVE OFFICER",1,1,"MT","MOUNT ASCENSION TRANSITIONAL CARE OF","Small Operator"
"BRIAN CHAMBERLIN","ADMINISTRATOR",1,1,"NY","TRUSTEES OF EASTERN STAR HALL","Small Operator"
"ANTHONY BERARDI","CEO",1,1,"OH","LAUREL LAKE RETIREMENT COMMUNITY","Small Operator"
"JENNIFER ROMAGNOLO","ADMINISTRATOR",1,1,"RI","VILLAGE HOUSE CONVALESCENT HOME INC.","Small Operator"
"BRYAN ERICKSON","ADMINISTRATOR",1,1,"UT","SUNSHINE TERRACE","Small Operator"
"EVANGILINE BODEN","OWNER",1,1,"UT","MOUNTAIN VIEW HEALTH SERVICES","Small Operator"
"IMMANUEL SUTHERLAND","ADMINISTRATOR",1,1,"VA","WONDER CITY REHAB AND NURSING CENTER","Small Operator"
"DUANE SMITH","ADMINISTRATOR",1,1,"VA","WESTPORT REHAB & NURSING CENTER","Small Operator"
"RACHELLE SIRON","CHEIF ADMINISTRATIVE OFFICER",1,1,"CA","YUCCA VALLEY NURSING & REHABILITATIO","Small Operator"
"JERROD MOORE","ADMINISTRATOR",1,1,"IN","MIDDLETOWN NURSING CENTER","Small Operator"
"SUE ROUGHTON","ADMINISTRATOR",1,1,"KS","CARITAS CENTER  INC.","Small Operator"
"RYAN WRIGHT","ADMINISTRATOR",1,1,"MO","LUTHER MANOR RET & NSG CENTER","Small Operator"
"LAURA MITCHELL","DIRECTOR OF FINANCE",1,1,"MA","CATHOLIC MEMORIAL HOME INC.","Small Operator"
"VINCENZO MANZELLA","MEMBER",1,1,"PA","AMOROSO WOODRIDGE","Small Operator"
"ELIZABETH DAROSA","ADMINISTRATOR",1,1,"RI","WEST SHORE HEALTH CENTER","Small Operator"
"WILLIAM PARDOE","ADMINISTRATOR",1,1,"RI","SOUTH KINGSTOWN NURSING & REHAB. CTR","Small Operator"
"KAVITHA NALLABELLI","ADMINISTRATOR",1,1,"VA","COLONIAL HEIGHTS REHAB AND NURS CTR","Small Operator"
"TERRY DIXON","ADMINISTRATOR",1,1,"CA","MANCHESTER MANOR CONVALESCENT HOSPIT","Small Operator"
"JAY GITTLESON","AUTHORIZED SIGNATORY",1,1,"VA","DEER MEADOWS REHABILITATION AND NURS","Small Operator"
"DARWIN ROYECA","CHIEF EXECUTIVE OFFICER",1,1,"ID","THE COVE OF CASCADIA","Small Operator"
"MEIR KATZENSTEIN","CHEIF EXECUTIVE OFFICER",1,1,"IL","GOLDWATER PONTIAC NURSING HOME LLC","Small Operator"
"AYOJIDE AKINRINMADE","ADMINISTRATOR",1,1,"IL","SOUTHVIEW MANOR","Small Operator"
"CHARLES ANDY BRAZZELL","MANAGER",1,1,"IN","CORE OF DALE","Small Operator"
"STEWART KARGER","OWNER",1,1,"MA","BELMONT MANOR","Small Operator"
"SUSAN ROSS","CHIEF OPERATING OFFICDER",1,1,"MI","MARSHALL NURSING AND REHABILITATION","Small Operator"
"JODEE EWBANK","ADMINISTRATOR",1,1,"MI","BRONSON COMMONS","Small Operator"
"SHIJI MATHEW CHERUKARA","CFO",1,1,"NV","WHITE PINE CARE CENTER","Small Operator"
"CARMELA CARINO","CHIEF FINANCIAL OFFICER",1,1,"NY","KENDAL ON HUDSON","Small Operator"
"PAUL HARRISON","PRESIDENT AND CEO",1,1,"NC","MORAVIAN  HOME  INC DBA SALEMTOWNE","Small Operator"
"JUSTIN SETTLEMIER","ADMINISTRATOR",1,1,"WA","WOODLAND CONVALESCENT CENTER","Small Operator"
"GUNNER ROMNEY","ADMINISTRATOR",1,1,"CA","CREEKSIDE POST ACUTE","Small Operator"
"SHANE SISSEL","ADMINISTRATOR",1,1,"IA","BROOKLYN COMMUNITY ESTATES","Small Operator"
"JESSICA GILBERT","ADMINISTRATOR",1,1,"ME","SEAL ROCK HEALTHCARE","Small Operator"
"TAMARA SHEPHERD","TREASURER",1,1,"OH","BENNINGTON GLEN NURSING & REHABILITA","Small Operator"
"STEVEN WEIDBERG","CHIEF FINANCIAL OFFICER",1,1,"SC","SEVEN OAKS REHABILITATION AND HEALTH","Small Operator"
"NORMA GUERERRO","ADMINISTRATOR",1,1,"TX","BROWNSVILLE CARE ASSOCIATE  INC.","Small Operator"
"JUANITA PARKS","CFO",1,1,"VA","COVENANT WOODS NURSING HOME","Small Operator"
"MARC RUGGLES","ADMINISTRATOR",1,1,"CA","LA VETA HEALTHCARE  INC","Small Operator"
"CHRIS OSBORN","CHIEF EXECUTIVE OFFICER",1,1,"KS","EVERGREEN LIVING INNOVATIONS  INC.","Small Operator"
"TREVOR HAIR","ADMINISTRATOR",1,1,"LA","GUEYDAN MEMORIAL GUEST HOME","Small Operator"
"KARALYN BERE","VICE PRESIDENT OF FINANCE",1,1,"MA","SNF-NORTH HILL","Small Operator"
"DELICIA MARK","ADMINISTRATOR",1,1,"MA","EDGAR P. BENJAMIN HEALTHCARE CENTER","Small Operator"
"MICHAEL DAVIS","MEMBER",1,1,"MI","THE VILLAGES OF LAPEER","Small Operator"
"KELLY ELLIS","ADMINISTRATOR",1,1,"MN","FAIRVIEW NURSING HOME","Small Operator"
"APRIL HRUSKA","ADMINISTRATOR",1,1,"MO","LA PLATA NURSING HOME DISTRICT","Small Operator"
"STEPHANIE GUERRERO","ADMINISTRATOR",1,1,"MT","PARK PLACE TRANSITIONAL CARE AND REH","Small Operator"
"RITA CHRISTENSEN","ADMINISTRATOR",1,1,"MT","PIONEER CARE AND REHABILITATION","Small Operator"
"MATISYOHU HERZKA","MANAGER",1,1,"NE","CONTINENTAL SPRINGS  LLC","Small Operator"
"KATHERINE CONANT","ADMINISTRATOR",1,1,"NY","JAMES G. JOHNSTON MEMORIAL NURSING","Small Operator"
"DOVID STOCK","CEO",1,1,"WA","MADISON POST ACUTE & MANOR","Small Operator"
"DAN MEYER","CEO",1,1,"WI","MORROW HOME","Small Operator"
"GEORGE VIEU","VICE PRESIDENT OF FINANCE",1,1,"CA","ST. PAULS HEALTH CARE CENTER","Small Operator"
"DAVID LEWIS","ADMINISTRATOR",1,1,"AR","COURTYARD HEALTH & REHAB","Small Operator"
"MICHAEL URANGA","CEO/PRESIDENT",1,1,"CA","PACIFIC HAVEN SUBACUTE AND HLTHCARE","Small Operator"
"JACQUELINE HOLLIS","ADMINISTRATOR",1,1,"KS","OAK PRAIRIE HEALTHCARE  INC.","Small Operator"
"JENNIFER SMITH","ADMINISTRATOR",1,1,"MO","BEAUTIFUL SAVIOR NURSING HOME","Small Operator"
"MARTY JENSEN","EXECUTIVE DIRECTOR",1,1,"NC","THE STEWART HEALTH CENTER","Small Operator"
"YOSSIE MANUEL","CEO",1,1,"NC","DAHLIA GARDENS (AH ABERDEEN)","Small Operator"
"STEVE NUSBAUM","DIR OF FINANCIAL SVCS",1,1,"NC","THE CEDARS OF CHAPEL HILL","Small Operator"
"STEPHANIE WOODCOCK","LNHA",1,1,"WA","CRESCENT HEALTH CARE","Small Operator"
"DONALD GORMLY","OWNER",1,1,"CA","CALIFORNIA PARK REHABILITATION HOSPI","Small Operator"
"KATHI CONDON","CFO",1,1,"AZ","CHRISTIAN CARE NURSING CENTER","Small Operator"
"MICHEL AUGSBURGER","CEO",1,1,"CO","DEVONSHIRE ACRES","Small Operator"
"LORI ALTMAN","CFO",1,1,"IL","CENTRAL BAPTIST VILLAGE","Small Operator"
"STEFANIE SANBORN","HEALTH CARE ADMINISTRATOR",1,1,"OR","DALLAS RETIREMENT VILLAGE","Small Operator"
"BRENT WAUKE","ADMINISTRATOR",1,1,"CA","DEL AMO GARDENS CONVALESCENT HOSPITA","Small Operator"
"CANDACE DOOLING","ADMINISTRATOR",1,1,"NV","DELMAR GARDENS OF GREEN VALLEY","Small Operator"
"SHARZAD JANNAT","ADMINISTRATOR",1,1,"CA","UNIVERSITY PARK HEALTHCARE CENTER","Small Operator"
"RONALD PATTI","ADMINISTRATOR",1,1,"NY","ELIZABETH CHURCH MANOR","Small Operator"
"MATTHEW DUBOIS","CHIEF FINANCIAL OFFICER",1,1,"NY","SCHOELLKOPF HEALTH CENTER","Small Operator"
"ALAN MARCOFF","CONTRACTED CONTROLLER",1,1,"OR","VILLAGE HEALTH CARE I  LLC","Small Operator"
"RUTH DEITZ","CFO",1,1,"OR","FRIENDSHIP HEALTH CENTER","Small Operator"
